Feature,Importance
reverse_ewm_B_7_6,1
rolling_std_B_4_6,1
diff_B_4_10,1
diff_B_4_9,1
ewm_D_60_6,1
diff_B_4_8,1
diff_B_4_6,1
diff_B_4_5,1
diff_B_4_4,1
diff_B_4_3,1
rolling_mean_S_15_6,1
diff_B_4_2,1
ewm_S_15_6,1
expanding_max_B_4,1
ewm_R_1_6,1
expanding_max_R_3,1
cummean_D_60,1
cummean_R_1,1
ewm_B_1_6,1
cumsum_P_4,1
cummean_P_4,1
expanding_max_B_9,1
expanding_max_P_4,1
diff_B_9_2,1
expanding_max_B_1,1
rolling_std_D_39_6,1
ewm_P_4_6,1
diff_D_39_6,1
diff_D_39_4,1
diff_D_39_2,1
expanding_max_D_39,1
expanding_max_R_1,1
cumsum_S_11,1
expanding_max_S_15,1
cummean_S_15,1
expanding_min_B_18,1
expanding_max_D_51,1
cumsum_B_18,1
cummean_D_51,1
cumsum_D_51,1
ewm_D_65_6,1
rolling_mean_D_65_6,1
ewm_D_47_6,1
rolling_mean_D_47_6,1
expanding_max_D_47,1
expanding_min_D_47,1
cummean_D_47,1
cumsum_D_47,1
lag_D_47_3,1
expanding_max_D_65,1
expanding_max_S_5,1
cummean_D_65,1
cummean_R_3,1
cumsum_R_3,1
reverse_ewm_B_4_6,1
lag_B_5_1,1
cummean_B_5,1
expanding_min_B_5,1
ewm_S_8_6,1
rolling_mean_B_5_6,1
reverse_ewm_B_5_6,1
cummean_R_2,1
ewm_R_2_6,1
lag_D_47_1,1
lag_D_47_2,1
cumsum_D_65,1
ewm_B_5_6,1
rolling_mean_S_8_6,1
ewm_D_39_6,1
cummean_R_11,1
R_5,1
rolling_std_D_75_6,1
D_63_CO,1
expanding_max_D_102,1
S_8,1
D_39,1
D_75,1
B_1,1
ewm_R_5_6,1
R_2,1
D_47,1
expanding_max_S_26,1
D_51,1
B_11,1
ewm_S_26_6,1
cumsum_S_26,1
lag_B_37_2,1
B_37,1
ewm_B_7_6,1
D_65,1
B_18,1
expanding_max_D_133,1
reverse_ewm_D_133_6,1
cummean_D_133,1
B_40,1
