Feature,Importance
R_10_Mean absolute deviation,1
R_5_Max,1
D_126_1.0_Average power,1
D_102_Root mean square,1
B_9_Root mean square,1
B_9_Max,1
B_9_Average power,1
R_5_Histogram mode,1
B_7_Root mean square,1
B_7_Max,1
B_7_Average power,1
B_5_Root mean square,1
B_5_Mean absolute deviation,1
B_5_Mean,1
S_5_ECDF Percentile_1,1
B_7_Mean,1
B_5_Max,1
D_133_Average power,1
D_133_Max,1
D_47_Absolute energy,1
B_1_Average power,1
S_5_Max,1
D_39_Standard deviation,1
D_39_Root mean square,1
D_39_Peak to peak distance,1
R_5_Average power,1
D_39_Mean,1
D_39_Interquartile range,1
R_3_Root mean square,1
D_39_Average power,1
D_39_Absolute energy,1
D_144_Median absolute deviation,1
D_133_Root mean square,1
D_39_Max,1
R_3_Mean,1
B_5_ECDF Percentile_1,1
B_5_Absolute energy,1
S_15_Root mean square,1
B_23_Average power,1
B_1_Peak to peak distance,1
B_18_Histogram mode,1
B_1_Min,1
B_1_Median,1
B_23_Max,1
B_1_Mean,1
B_1_Max,1
B_18_Median,1
B_1_ECDF Percentile_1,1
B_18_Min,1
B_1_ECDF Percentile_0,1
S_26_Max,1
B_18_Mean,1
B_5_Average power,1
S_15_Mean,1
S_15_ECDF Percentile_0,1
B_4_Peak to peak distance,1
B_4_Median absolute deviation,1
B_4_Mean absolute deviation,1
B_4_Max,1
S_11_Root mean square,1
B_4_ECDF Percentile_1,1
S_15_Max,1
B_4_Absolute energy,1
B_40_ECDF Percentile_1,1
B_37_Root mean square,1
S_13_Root mean square,1
B_18_ECDF Percentile_0,1
S_15_Absolute energy,1
S_15_Average power,1
B_40_Max,1
R_3_Max,1
S_5_Mean,1
S_5_Root mean square,1
D_65_Average power,1
D_65_Absolute energy,1
B_10_Min,1
D_63_CR_Mean,1
B_10_Root mean square,1
R_16_Interquartile range,1
D_65_Histogram mode,1
D_63_CR_Absolute energy,1
R_16_Mean absolute deviation,1
R_1_Average power,1
D_63_CO_ECDF Percentile_0,1
D_47_ECDF Percentile_0,1
D_63_CO_Absolute energy,1
R_1_Histogram mode,1
R_16_Mean,1
D_65_Max,1
D_65_Mean,1
D_65_Mean absolute deviation,1
P_4_Median,1
P_4_Mean,1
P_4_Max,1
B_10_ECDF Percentile_1,1
P_4_Histogram mode,1
S_8_Min,1
P_4_Absolute energy,1
S_8_Median,1
D_75_Standard deviation,1
S_8_Mean,1
S_8_Max,1
D_75_Max,1
R_11_Mean,1
D_65_Standard deviation,1
D_65_Peak to peak distance,1
R_1_Max,1
R_1_Mean,1
D_63_CO_Average power,1
R_1_Peak to peak distance,1
B_11_Median,1
R_1_Mean absolute deviation,1
B_11_Min,1
D_51_Histogram mode,1
B_11_Root mean square,1
R_3_Absolute energy,1
B_11_Standard deviation,1
R_3_Average power,1
D_51_Average power,1
S_8_Absolute energy,1
